identifier,city,name,address,lat,lon
2,1,"36 М-02 ул. Машиностроителей, 10","ул. Солнечная, д. 8",46.44,45.455
6,1,"36 М-05 ул. Остужева, 35а","г. Воронеж, ул. Остужева 35а",,
18,1,"36 М-12 ул. Димитрова, 159 (Твой дом)",ул. Димитрова 159,,
27,11,"68 М-01 Тамбов Агапкина, 2б",г. Тамбов ул. Агапкина д. 2б,,
43,1,36 М-25 Острогожская 111 (Шилово),Воронеж_Острогожская111,,
46,1,36 М-14 Дорожная 84Д,г. Воронеж ул. Дорожная 84д,,
90,7,"Липецк, ул. 50 лет НЛМК Манеж",,,
94,12,58-МО-01- Кузнецк (DS3-50),,,
13,1,36 М-09 Нововоронеж ,г. Нововоронеж Воронежское шоссе,,
54,7,"Липецк, ул. Студеновская Сокол доп",,,
71,12,58-М-02- пр. Строителей DS3-39,г. Пенза проспект Строителей 2г,,
83,20,Родины 49,г. Казань ,,
88,1,36 М-18 Новая Усмань,поселок Новая усмань ул. Солнечная,,
9,1,36-М-06 - Антонова-Овсеенко,Антонова-Овсеенко 35М,,
30,2,161-М-04 - Комарова,ул Комарова,,
66,1,36 М-15 Брусилова 4Г,"г. Воронеж, Брусилова 4Г",,
72,19,"163 М-01 Самара, ул.Алматинская, 200",г. Самара ул. Алма-Атинская 198,,
73,7,"Липецк, ул. Меркулова Карусель",,,
89,5,50-М-03- Железнодорожный 6П3п,,,
32,5,"77 М-01 Москва Люблинская,70","г. Москва, ул. Люблинская д.70",,
33,12,58-М-01-Дальнее арбеково,г. Пенза дальнее Арбеково,,
36,7,Липецк Гагарина 1,,,
52,5,77 М-07  Шереметьево,"г. Химки,мкр.Клязьма_6п",,
118,28,92 М-01 АМС г.Севастополь,92-МО-01-DS3-64 Севастополь,,
219,37,АМС_Узбекистан_Бекабат 6п,,,
221,5,DS5-024_Назарова_Клин,"Клин, ул. Ленинградское шоссе, 87А",,
233,1,36 М-28 ул. Кольцовская,"Воронеж_ул.Кольцовская,150Б",,
239,42,DS5-028_ИП Худотеплов_стан.Староминская,"стан.Староминская,ул.Железнодорожная-ул.Заводская",,
242,37,АМС_Узбекистан_Ибн-Сино 6п,,,
106,20,Тукая 111,г. Казань,,
107,2,DS1-161М2 Александровка,161-М-02 - Александровка - реставрация,,
108,33, DS3-92_ИПГришинаМ.С,,,
120,7,"Липецк, ул. Студеновская Сокол",Студеновская,,
140,5,77 М-08 Серпухов ,Московск.обл.г.Серпухов_ул.Чернышевского_7п,,
144,32,Владимир Пром. проезд д.2 DS4S-017,Владимирская область Промышленный проезд д.2 DS4S-017,,
163,1,"36 М-08 ул.Л. Шевцовой, 11",г. Воронеж ул. Любы Шевцовой д.11,,
167,7,Липецк Ангарская 7,,,
169,12, DS3-96_ИП_Селезнев_Кузнецк,Кузнецк,,
67,1,"36 М-17 Острогожская, 148/4",г. Воронеж ул. Острогожская 138,,
178,37,АМС_Узбекистан_Куйлюк 6п,,,
186,25,DS3-109_ООО_Развитие_Апатиты,"г. Апатиты, ул. Козлова, д.8а",,
194,10,60-М-03 Труда DS, г. Псков ул. Труда 27,,
208,1,36 М-26 Портал Брусилова 4/1 (Автошина),ул.Брусилова,,
211,32,33 М-03 Кольчугино,Владимирскаяобл.г.Кольчугиноп.БелаяРечка_ул.Садовая1В_5п,,
15,1,"36 М-13 ул.Новосибирская,69 (Машмет)",ул. Новосибирская д.69,,
55,11,"68 М-02 Тамбов, Московская, 15Б",г. Тамбов ул Московская д. 15б,,
220,37,АМС_Узбекистан_Сергири 6п,,,
243,37,АМС_Узбекистан_Лимонария 5п,,,
257,37,1,,,
131,5,77 М-06 Лыткарино Московская обл.,ул. Степана Степанова,,
153,1,"36 М-04 ул. Антонова-Овсеенко, 17 в",Антонова-Овсеенко 17в,,
164,11,"68 М-03 Тамбов, Комиссара Московского, 21",г. Тамбов ул. Комиссара Московского д. 21,,
1,1,"36 М-01 ул. 9 Января, 68","г. Воронеж, ул. 9-го января, д. 68, к. 3",45.455,45.455
3,1,"36 М-03 ул. Димитрова, 91а","г. Воронеж, ул. Димитрова, д.91А",45.455,455.455
195,5,77 М-09 Скрябина,"г.Москва,ул.Академика Скрябина,21",,
207,37,АМС_Узбекистан_Зенит 6п,,,
224,5,DS5-026_ИПДрозд_Белоозёрский_Воскресенск,Моск.обл.г.Белоозерскийул.Коммунальная12_4п,,
59,7,"с. сырское, ул. Танкистов",,,
235,1,36-М-30 пр-т Патриотов 67г (Автошина),Воронеж_пр. Патриотов 67Г,,
252,37,АМС_Узбекистан_19 квартал,,,
127,1,"36 М-10  ул.С.Перовской, 1",г. Воронеж ул. Софьи Перовской 1А,,
143,5,77 М-05 Видное г.Москва ,"г. Видное, Белокаменское шоссе 5п",,
162,12, DS4Pr-71_ИП_Евстифеев,Пенза_Ладожская105,,
179,1,36 М-23  ул.Шишкова 140 А/2,"ул. Шишкова, 140а/2",,
180,25,DS3_104_ООО_Развитие_Кандалакша,г.Кандалакша_ул.Путейская2_4п,,
185,25,DS3-108_ООО_Развитие_Кольский,"г.Мурманск,ш.Верхне-Ростинское,д.55",,
189,1,36 М-26 Брусилова 4/1 (Автошина),ул.Брусилова,,
191,12,DS3-113_Бекешская,"Пенза_ул.Бекешская,13",,
192,10,60-М-01 Леона Поземского DS,г. Псков ул. Леона Поземского д. 113,,
193,10,60-М-02 Гражданская DS,г. Псков ул. Гражданская 10б,,
226,7,Липецк ул.Кривенкова Катукова,"Липецк_ул. Катукова, 43А_8п",,
228,1,"36 М-10 Портал ул.С.Перовской, 1","Воронеж,ул.СофьиПеровской,1.",,